var,only,cat_size,exclude,val
beta_red,sl_mean_obs_log_scale,-2,NA,-0.4481150092999315
beta_white,sl_mean_obs_log_scale,-2,NA,0
var_high,sl_mean_obs_log_scale,-2,NA,0.23561602300421064
beta_red,area_herb_log_scale,-2,NA,-0.15573513475920517
beta_white,area_herb_log_scale,-2,NA,0.07212711999999999
var_high,area_herb_log_scale,-2,NA,0.08188454377217473
beta_red,mean_toxic_conc_scale,-2,NA,-0.05590813494153401
beta_white,mean_toxic_conc_scale,-2,NA,0.06459884
var_high,mean_toxic_conc_scale,-2,NA,0.10414442741781973
beta_red,var_toxic_12_scale,-2,NA,0
beta_white,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_red,NA,-2,NA,-0.6597582790006707
beta_white,NA,-2,NA,0.13672595999999998
var_high,NA,-2,NA,0.4216449941942051
beta_red,sl_mean_obs_log_scale,2,NA,0.3463850761251057
beta_white,sl_mean_obs_log_scale,2,NA,0
var_high,sl_mean_obs_log_scale,2,NA,0.16125337679021062
beta_red,area_herb_log_scale,2,NA,0.1203805393467974
beta_white,area_herb_log_scale,2,NA,0.07212711999999999
var_high,area_herb_log_scale,2,NA,0.056041006981740873
beta_red,mean_toxic_conc_scale,2,NA,0.1580758205359298
beta_white,mean_toxic_conc_scale,2,NA,0.06459884
var_high,mean_toxic_conc_scale,2,NA,0.3509578673949198
beta_red,var_toxic_12_scale,2,NA,0
beta_white,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_red,NA,2,NA,0.6248414360078328
beta_white,NA,2,NA,0.13672595999999998
var_high,NA,2,NA,0.5682522511668712
beta_red,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.4481150092999315
beta_white,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.23561602300421064
beta_red,area_herb_log_scale,-2,ava_mean_toxin_scale,-0.15573513475920517
beta_white,area_herb_log_scale,-2,ava_mean_toxin_scale,0.07212711999999999
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.08188454377217473
beta_red,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.05590813494153401
beta_white,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.06459884
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.10414442741781973
beta_red,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
