var,target,only,cat_size,exclude,val
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.3614153543174187
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.30118080507741796
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.15365420400233476
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.12804574103486727
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.002557090263174564
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.0036550241433608213
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.025719985271892686
var_high,RGR_scale,select_scale,-2,NA,0.006052873857065419
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.4069209565543392
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.20513919663957647
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.1730007176626811
var_high,RGR_scale,area_herb_log_scale,2,NA,0.08721405881845622
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.009920712406987421
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.05008949558689803
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.03338990711798924
var_high,RGR_scale,select_scale,2,NA,-0.09064134313723883
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,1.179121170914211
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.9826053577897316
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.36882910226196514
var_high,area_herb_log_scale,NA,-2,NA,0.307358955916628
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.0732690619820792
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.10472848548311808
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.24077142346131275
var_high,var_toxic_12_scale,NA,-2,NA,1.692034398012642
beta_numeric_scale,select_scale,NA,-2,NA,-0.32546904
var_high,select_scale,NA,-2,NA,-0.07659503000000001
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-1.3275836486473216
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.6692686595977315
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.4152681652968822
var_high,area_herb_log_scale,NA,2,NA,0.2093472367221704
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.2842611004867456
var_high,mean_toxic_conc_scale,NA,2,NA,-1.4352290999111181
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.7707374528391331
var_high,var_toxic_12_scale,NA,2,NA,1.4824804730007028
beta_numeric_scale,select_scale,NA,2,NA,0.42252672
var_high,select_scale,NA,2,NA,1.14700497
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.30651248
area_herb_log_scale,RGR_scale,NA,-2,NA,0.4166
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.0349
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.07902436825294562
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.30651248
area_herb_log_scale,RGR_scale,NA,2,NA,0.4166
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.0349
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.07902436825294562
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.1832589041493999
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.4314106671333724
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.02835313735078761
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.0667462569232409
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.002456993290932085
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.06208413028026502
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.02086764800602199
var_high,RGR_scale,select_scale,-2,NA,0.055172297951099396
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.07101556637562981
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.33661429388855846
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.010987264803519234
var_high,RGR_scale,area_herb_log_scale,2,NA,0.052079713960746926
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.029240612784544186
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.20731993437689303
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.021419910902211608
var_high,RGR_scale,select_scale,2,NA,-0.07529879119708657
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.575002846320016
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.353616964402864
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.17698587609730093
var_high,area_herb_log_scale,NA,-2,NA,0.41664330164320157
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.015064336547713608
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.38065070680726554
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.046361987471187305
var_high,var_toxic_12_scale,NA,-2,NA,1.3650630317001295
beta_numeric_scale,select_scale,NA,-2,NA,-0.25366608
var_high,select_scale,NA,-2,NA,-0.67067168
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.2228222033114721
var_high,sl_mean_obs_log_scale,NA,2,NA,-1.056178841602864
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.06858467417927111
var_high,area_herb_log_scale,NA,2,NA,0.32509184744536157
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.1792802745833488
var_high,mean_toxic_conc_scale,NA,2,NA,-1.2711216086872654
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.20528023984282553
var_high,var_toxic_12_scale,NA,2,NA,1.1575677726214895
beta_numeric_scale,select_scale,NA,2,NA,0.26037936000000006
var_high,select_scale,NA,2,NA,0.9153283200000001
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.31870955999999995
