var,target,only,cat_size,exclude,val
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.03965263941834793
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.050544296827932635
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,0
var_high,RGR_scale,area_herb_log_scale,-2,NA,1.69390628718184
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.0066141386216834915
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.07228153140308466
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,-6.563028491243549e-4
var_high,RGR_scale,select_scale,-2,NA,0.008993292785023286
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.023542212420917585
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,8.352472614537657e-4
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0
var_high,RGR_scale,area_herb_log_scale,2,NA,-0.23364867242976
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.03547583795547176
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.41784808287059777
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.003520170177401555
var_high,RGR_scale,select_scale,2,NA,-0.027299154949502424
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.28737045215508367
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.36630442881900144
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,0
var_high,area_herb_log_scale,NA,-2,NA,1.8939748
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.029714659980859256
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.3247317982567135
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.029096460481611165
var_high,var_toxic_12_scale,NA,-2,NA,1.6096436480992242
beta_numeric_scale,select_scale,NA,-2,NA,0.031186639459000003
var_high,select_scale,NA,-2,NA,-0.42734932510190005
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,0.1706150290968949
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.006053200662203551
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0
var_high,area_herb_log_scale,NA,2,NA,-0.8194352
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.15937864666564727
var_high,mean_toxic_conc_scale,NA,2,NA,-1.8772230847186906
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.11281244761414765
var_high,var_toxic_12_scale,NA,2,NA,1.402787032295958
beta_numeric_scale,select_scale,NA,2,NA,0.16727381010675002
var_high,select_scale,NA,2,NA,1.2972195748981
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.1379844
area_herb_log_scale,RGR_scale,NA,-2,NA,0.8943658
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.2225884
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.021044359395861606
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.1379844
area_herb_log_scale,RGR_scale,NA,2,NA,0.2851338
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.2225884
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.021044359395861606
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.04402338745875775
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.11904519332130242
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,0
var_high,RGR_scale,area_herb_log_scale,-2,NA,1.33659892825403
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.006351694741478845
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.19283420141378235
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.007044637889545544
var_high,RGR_scale,select_scale,-2,NA,0.027846785640946073
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.009716616688516568
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.02861601170049368
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0
var_high,RGR_scale,area_herb_log_scale,2,NA,-0.29825768944156
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.015319168171161496
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.3012718310209341
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.016990424906622354
var_high,RGR_scale,select_scale,2,NA,-0.05734748046071095
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.20391929150288374
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.5514253418514383
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,0
var_high,area_herb_log_scale,NA,-2,NA,1.9843201
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.036866556279217484
var_high,mean_toxic_conc_scale,NA,-2,NA,-1.1192497795200986
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.11139631552514277
var_high,var_toxic_12_scale,NA,-2,NA,1.527487194273083
beta_numeric_scale,select_scale,NA,-2,NA,-0.1263695800263
var_high,select_scale,NA,-2,NA,-0.49952696812862996
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.04500802199248358
var_high,sl_mean_obs_log_scale,NA,2,NA,-0.1325512907671999
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0
var_high,area_herb_log_scale,NA,2,NA,-1.0434052
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.08891563567197344
var_high,mean_toxic_conc_scale,NA,2,NA,-1.7486443171055466
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.237611846159463
var_high,var_toxic_12_scale,NA,2,NA,1.2704274422605213
beta_numeric_scale,select_scale,NA,2,NA,0.30478115320939003
var_high,select_scale,NA,2,NA,1.02872243187137
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.21588633
area_herb_log_scale,RGR_scale,NA,-2,NA,0.6735803
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1722888
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.05574631084537446
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.21588633
area_herb_log_scale,RGR_scale,NA,2,NA,0.2858503
