var,only,cat_size,exclude,val
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,0.38827449376793743
var_high,sl_mean_obs_log_scale,-2,NA,-0.49210742155240955
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.52689714
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.06898583181917708
var_high,mean_toxic_conc_scale,-2,NA,0.07757307814027016
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,0.3192886619487604
var_high,NA,-2,NA,0.11236279658786064
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-0.8502881427286846
var_high,sl_mean_obs_log_scale,2,NA,-0.7234408537987456
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.2257871
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.12153227535027095
var_high,mean_toxic_conc_scale,2,NA,0.43578353829248784
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-0.7287558673784137
var_high,NA,2,NA,-0.5134444155062579
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.38827449376793743
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.49210742155240955
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.52689714
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.06898583181917708
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.07757307814027016
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.3192886619487604
var_high,NA,-2,ava_mean_toxin_scale,0.11236279658786064
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.8502881427286846
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.7234408537987456
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.2257871
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.12153227535027095
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.43578353829248784
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-0.7287558673784137
var_high,NA,2,ava_mean_toxin_scale,-0.5134444155062579
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,0.4234409763315566
var_high,sl_mean_obs_log_scale,-2,NA,0.04692509615283211
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.7732130399999999
beta_numeric_scale,mean_toxic_conc_scale,-2,NA,-0.15432880387868372
var_high,mean_toxic_conc_scale,-2,NA,0.03307235356459029
beta_numeric_scale,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,NA,-2,NA,0.26911217245287283
var_high,NA,-2,NA,0.8532104897174224
beta_numeric_scale,sl_mean_obs_log_scale,2,NA,-1.216605942034304
var_high,sl_mean_obs_log_scale,2,NA,-0.5359762380634879
beta_numeric_scale,area_herb_log_scale,2,NA,0
var_high,area_herb_log_scale,2,NA,-0.40934808
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.4180942626925639
var_high,mean_toxic_conc_scale,2,NA,0.47518657409323023
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-0.7985116793417402
var_high,NA,2,NA,-0.47013774397025754
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.4234409763315566
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.04692509615283211
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.7732130399999999
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.15432880387868372
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.03307235356459029
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.26911217245287283
var_high,NA,-2,ava_mean_toxin_scale,0.8532104897174224
