frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim,out_of_frame,is_gap,size_z,status,false_cluster
frame1__s0,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s0_rank1.jpg,processed_rep49__cam18_s0_rank1.jpg,TRUE,rep49,cam18,0,1,0.9951485991477966,326.6514587402344,623.22412109375,0.27895036339759827,332.77484130859375,590.99554443359375,0.02334766276180744,348.6957092285156,555.0482177734375,0.07136981934309006,334.1146112600536,592.5187667560322,1491.5,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame2__s360,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s360_rank2.jpg,processed_rep49__cam18_s360_rank2.jpg,TRUE,rep49,cam18,360,2,0.9977415800094604,276.8694763183594,529.7432861328125,0.08994191884994507,325.33941650390625,565.7401123046875,0.08156165480613708,329.06793212890625,595.5306396484375,0.06859922409057617,314.39168110918547,555.3743500866551,1731.5,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame3__s721,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s721_rank3.jpg,processed_rep49__cam18_s721_rank3.jpg,TRUE,rep49,cam18,721,3,0.9972453117370604,278.3087463378906,528.3729248046875,0.08115293830633163,324.262939453125,564.3216552734375,0.09402182698249817,327.9889221191406,594.07232666015625,0.06910565495491028,313.6935300794552,554.4738933030648,1761,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame4__s1081,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s1081_rank4.jpg,processed_rep49__cam18_s1081_rank4.jpg,TRUE,rep49,cam18,1081,4,0.9975542426109314,281.4499206542969,530.52471923828125,0.09102080017328262,324.7714538574219,563.926025390625,0.07403290271759033,327.2469787597656,592.37890625,0.2529296875,314.52557319223985,554.54379776602,1700,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame5__s1442,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s1442_rank5.jpg,processed_rep49__cam18_s1442_rank5.jpg,TRUE,rep49,cam18,1442,5,0.9976569414138794,292.432373046875,541.8814697265625,0.05173545330762863,324.7457580566406,565.32769775390625,0.093727245926857,328.47418212890625,597.4119873046875,0.0539461150765419,317.1843381843382,561.3659043659044,1439.5,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame6__s1802,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s1802_rank6.jpg,processed_rep49__cam18_s1802_rank6.jpg,TRUE,rep49,cam18,1802,6,0.9979524612426758,290.2433166503906,537.76373291015625,0.0524924173951149,327.03460693359375,570.11016845703125,1.5412180423736572,328.260986328125,598.724365234375,0.058153919875621796,318.09802631578947,558.9690789473684,1518,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame7__s2163,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s2163_rank7.jpg,processed_rep49__cam18_s2163_rank7.jpg,TRUE,rep49,cam18,2163,7,0.9980499744415284,295.5972900390625,532.97607421875,0.053259070962667465,327.3748779296875,569.935546875,0.5836593508720398,327.3748779296875,597.0391845703125,0.05852242559194565,318.3324538258575,558.4973614775726,1514,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame8__s2523,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s2523_rank8.jpg,processed_rep49__cam18_s2523_rank8.jpg,TRUE,rep49,cam18,2523,8,0.9985210299491882,302.0046691894531,500.7647399902344,0.031166886910796165,321.94525146484375,554.10247802734375,0.046810492873191833,325.68414306640625,592.5552978515625,0.7381299734115601,319.796957284962,549.4815681685196,1713,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame9__s2884,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s2884_rank9.jpg,processed_rep49__cam18_s2884_rank9.jpg,TRUE,rep49,cam18,2884,9,0.998498797416687,299.9890441894531,500.0916748046875,0.05279729515314102,320.74591064453125,552.4241943359375,0.06619463860988617,326.85089111328125,588.55859375,1.2203482389450073,318.8483630097645,548.0832854681217,1745.5,1000,1000,FALSE,FALSE,NA,unclear,FALSE
frame10__s3244,C:/R_projects/spat_1f_noise/processed_feed\rep49\processed_rep49__cam18_s3244_rank10.jpg,processed_rep49__cam18_s3244_rank10.jpg,TRUE,rep49,cam18,3244,10,0.9986143112182616,301.3227844238281,499.9183654785156,0.04230252653360367,320.7008361816406,553.2803955078125,0.06007977947592735,326.7564697265625,589.268798828125,2.6002910137176514,318.9389534883721,548.1691860465116,1724.5,1000,1000,FALSE,FALSE,NA,unclear,FALSE
