frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame1__s0,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s0_rank1.jpg,processed_rep67__cam6_s0_rank1.jpg,FALSE,rep67,cam6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame2__s360,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s360_rank2.jpg,processed_rep67__cam6_s360_rank2.jpg,FALSE,rep67,cam6,360,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame3__s721,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s721_rank3.jpg,processed_rep67__cam6_s721_rank3.jpg,FALSE,rep67,cam6,721,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame4__s1081,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s1081_rank4.jpg,processed_rep67__cam6_s1081_rank4.jpg,FALSE,rep67,cam6,1081,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame5__s1442,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s1442_rank5.jpg,processed_rep67__cam6_s1442_rank5.jpg,FALSE,rep67,cam6,1442,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame6__s1802,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s1802_rank6.jpg,processed_rep67__cam6_s1802_rank6.jpg,FALSE,rep67,cam6,1802,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame7__s2162,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s2162_rank7.jpg,processed_rep67__cam6_s2162_rank7.jpg,FALSE,rep67,cam6,2162,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame8__s2523,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s2523_rank8.jpg,processed_rep67__cam6_s2523_rank8.jpg,FALSE,rep67,cam6,2523,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame9__s2883,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s2883_rank9.jpg,processed_rep67__cam6_s2883_rank9.jpg,FALSE,rep67,cam6,2883,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame10__s3244,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s3244_rank10.jpg,processed_rep67__cam6_s3244_rank10.jpg,FALSE,rep67,cam6,3244,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame11__s3604,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s3604_rank11.jpg,processed_rep67__cam6_s3604_rank11.jpg,FALSE,rep67,cam6,3604,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame12__s3965,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s3965_rank12.jpg,processed_rep67__cam6_s3965_rank12.jpg,FALSE,rep67,cam6,3965,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
