frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim,out_of_frame,is_gap,size_z,status,false_cluster,frames,missing,duplicate,time_steps,duration,dim,thing_class,n_bbox,n_keypoints,n_mask,version,inf_time
frame1__s0,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s0_rank1.jpg,processed_rep87__cam26_s0_rank1.jpg,TRUE,rep87,cam26,0,1,0.8192195296287537,747.8248291015625,7.829798698425293,0.01163192838430404,773.751220703125,7.829798698425293,0.00728027988225221,746.59027099609375,3.011460781097412,0.00432848464697599,770.5436681222708,4.067685589519651,458.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame2__s361,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s361_rank2.jpg,processed_rep87__cam26_s361_rank2.jpg,TRUE,rep87,cam26,361,2,0.7056536078453064,749.30120849609375,3.084530830383301,0.00513926148414611,774.00518798828125,4.318342685699463,0.00796233955770731,793.76837158203125,3.084530830383301,0.00349005893804132,774.7288557213931,3.967661691542288,401.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame3__s722,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s722_rank3.jpg,processed_rep87__cam26_s722_rank3.jpg,TRUE,rep87,cam26,722,3,0.3958317041397095,761.66961669921875,3.947134017944336,0.05541731044650078,775.29412841796875,2.8193812370300293,0.02482093125581741,795.111572265625,2.8193812370300293,0.00191997643560171,776.4199288256227,3.192170818505338,280.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame4__s1082,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s1082_rank4.jpg,processed_rep87__cam26_s1082_rank4.jpg,TRUE,rep87,cam26,1082,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame5__s1442,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s1442_rank5.jpg,processed_rep87__cam26_s1442_rank5.jpg,TRUE,rep87,cam26,1442,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame6__s1803,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s1803_rank6.jpg,processed_rep87__cam26_s1803_rank6.jpg,TRUE,rep87,cam26,1803,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame7__s2163,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s2163_rank7.jpg,processed_rep87__cam26_s2163_rank7.jpg,TRUE,rep87,cam26,2163,7,0.3224990963935852,726.6014404296875,36.15739822387695,0.29356104135513306,737.66485595703125,32.44664764404297,0.01632283255457878,740.1234130859375,52.23731231689453,0.01330731250345707,735.2433795712484,33.237074401008826,797,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame8__s2524,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s2524_rank8.jpg,processed_rep87__cam26_s2524_rank8.jpg,TRUE,rep87,cam26,2524,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame9__s2884,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s2884_rank9.jpg,processed_rep87__cam26_s2884_rank9.jpg,TRUE,rep87,cam26,2884,9,0.6098379492759705,787.8311767578125,4.277830600738525,0.03773569315671921,782.9071044921875,4.277830600738525,0.01173279900103807,768.1348876953125,3.0555930137634277,0.00366600416600704,778.6194331983805,3.668016194331984,246.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame10__s3245,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s3245_rank10.jpg,processed_rep87__cam26_s3245_rank10.jpg,TRUE,rep87,cam26,3245,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame11__s3605,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s3605_rank11.jpg,processed_rep87__cam26_s3605_rank11.jpg,TRUE,rep87,cam26,3605,11,0.4654887616634369,766.3489990234375,5.153744697570801,0.0129798362031579,763.85107421875,4.008468151092529,0.00521246623247861,766.3489990234375,2.8631913661956787,0.00201175827533006,758.2686567164179,4.548507462686567,269,1000,1000,TRUE,FALSE,NA,unclear,FALSE,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame12__s3966,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s3966_rank12.jpg,processed_rep87__cam26_s3966_rank12.jpg,TRUE,rep87,cam26,3966,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
frame13__s4326,C:/R_projects/spat_1f_noise/processed_feed\rep87\processed_rep87__cam26_s4326_rank13.jpg,processed_rep87__cam26_s4326_rank13.jpg,TRUE,rep87,cam26,4326,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,NA,1224,1,0,1225,122:32:34,"(1000,1000)",cat,806,806,806,modelv7.1,2024-05-04 04:35:56
