frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim,out_of_frame,is_gap,size_z,status,false_cluster
frame1__s0,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s0_rank1.jpg,processed_repweek2test2__cam28_s0_rank1.jpg,TRUE,repweek2test2,cam28,0,1,0.8921856880187988,940.6864013671875,996.3424072265625,0.16875790059566498,959.212646484375,992.73370361328125,0.007468735333532095,978.9739990234375,996.3424072265625,1.0765573978424072,952.5790884718499,990.6340482573727,748,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame2__s361,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s361_rank2.jpg,processed_repweek2test2__cam28_s361_rank2.jpg,TRUE,repweek2test2,cam28,361,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame3__s721,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s721_rank3.jpg,processed_repweek2test2__cam28_s721_rank3.jpg,TRUE,repweek2test2,cam28,721,3,0.5759515166282654,929.98260498046875,995.43975830078125,0.007100530434399843,948.67620849609375,996.6845703125,0.0032788170501589775,974.84716796875,995.43975830078125,0.014160794205963612,949.3310657596372,994.0385487528345,441,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame4__s1082,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s1082_rank4.jpg,processed_repweek2test2__cam28_s1082_rank4.jpg,TRUE,repweek2test2,cam28,1082,4,0.7063466310501099,936.4349365234375,998.159912109375,0.011910540983080864,950.11810302734375,995.81756591796875,0.0037995020393282175,960.0694580078125,998.159912109375,0.11925044655799866,948.4394213381555,994.244122965642,553.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame5__s1442,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s1442_rank5.jpg,processed_repweek2test2__cam28_s1442_rank5.jpg,TRUE,repweek2test2,cam28,1442,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame6__s1803,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s1803_rank6.jpg,processed_repweek2test2__cam28_s1803_rank6.jpg,TRUE,repweek2test2,cam28,1803,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame7__s2163,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s2163_rank7.jpg,processed_repweek2test2__cam28_s2163_rank7.jpg,TRUE,repweek2test2,cam28,2163,7,0.9715083241462708,465.39935302734375,997.48052978515625,0.021222636103630066,452.0084228515625,986.40960693359375,0.007456668186932802,448.3563537597656,955.6568603515625,0.015242855064570904,450.6953642384106,973.9496688741722,756,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame8__s2523,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s2523_rank8.jpg,processed_repweek2test2__cam28_s2523_rank8.jpg,TRUE,repweek2test2,cam28,2523,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame9__s2884,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s2884_rank9.jpg,processed_repweek2test2__cam28_s2884_rank9.jpg,TRUE,repweek2test2,cam28,2884,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame10__s3244,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s3244_rank10.jpg,processed_repweek2test2__cam28_s3244_rank10.jpg,TRUE,repweek2test2,cam28,3244,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame11__s3605,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s3605_rank11.jpg,processed_repweek2test2__cam28_s3605_rank11.jpg,TRUE,repweek2test2,cam28,3605,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,FALSE,NA,unclear,FALSE
frame12__s3965,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s3965_rank12.jpg,processed_repweek2test2__cam28_s3965_rank12.jpg,TRUE,repweek2test2,cam28,3965,12,0.998030126094818,596.11322021484375,886.27923583984375,0.13233594596385956,538.68292236328125,940.89324951171875,0.12240826338529587,509.9677734375,969.4415283203125,0.08718612045049667,543.8840719332048,933.121387283237,3113.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame13__s4326,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s4326_rank13.jpg,processed_repweek2test2__cam28_s4326_rank13.jpg,TRUE,repweek2test2,cam28,4326,13,0.99868506193161,597.42431640625,892.638916015625,0.15119659900665283,532.6431884765625,943.3720703125,0.1446227878332138,510.2188720703125,971.8321533203125,0.19011127948760986,542.7353227375933,932.820629257217,3084.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame14__s4686,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s4686_rank14.jpg,processed_repweek2test2__cam28_s4686_rank14.jpg,TRUE,repweek2test2,cam28,4686,14,0.9982228875160216,600.71630859375,885.86419677734375,0.15857258439064026,538.4119873046875,938.1259765625,0.14824075996875763,502.27557373046875,979.1888427734375,0.08146307617425919,545.4179197994987,929.7731829573935,3197.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame15__s5046,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s5046_rank15.jpg,processed_repweek2test2__cam28_s5046_rank15.jpg,TRUE,repweek2test2,cam28,5046,15,0.9988023042678832,600.2750244140625,885.222900390625,0.14743152260780334,533.0382080078125,940.87188720703125,0.15052461624145508,511.8710632324219,973.02459716796875,0.408780038356781,544.2069500465404,930.3291964008688,3222.5,1000,1000,TRUE,FALSE,NA,unclear,FALSE
frame16__s5407,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s5407_rank16.jpg,processed_repweek2test2__cam28_s5407_rank16.jpg,TRUE,repweek2test2,cam28,5407,16,0.998006284236908,603.538330078125,881.50146484375,0.17778392136096954,536.27392578125,937.683349609375,0.15403929352760315,507.6242370605469,971.3924560546875,0.7845845818519592,546.0360305343512,927.6897709923664,3275.5,1000,1000,TRUE,FALSE,0.6306905139914952,no issue,FALSE
frame17__s5767,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s5767_rank17.jpg,processed_repweek2test2__cam28_s5767_rank17.jpg,TRUE,repweek2test2,cam28,5767,17,0.9988349080085754,603.97869873046875,879.2650146484375,0.12778568267822266,551.87890625,927.64617919921875,0.12984277307987213,524.58856201171875,954.938232421875,0.11269262433052063,555.1057823129252,921.1071428571429,2940.5,1000,1000,FALSE,FALSE,0.18916601479670178,no issue,FALSE
frame18__s6128,C:/R_projects/spat_1f_noise/processed_feed\repweek2test2\processed_repweek2test2__cam28_s6128_rank18.jpg,processed_repweek2test2__cam28_s6128_rank18.jpg,TRUE,repweek2test2,cam28,6128,18,0.9981903433799744,611.6011962890625,874.61761474609375,0.11762238293886185,555.53619384765625,927.81463623046875,0.14585736393928528,515.667724609375,964.9287109375,0.07640624046325684,560.1462279827185,918.847789963443,3007,1000,1000,FALSE,FALSE,0.251987319834811,no issue,FALSE
