b,rss,scale,sl,ava_toxic,on_toxic
0,0.5,10,5.6234151773767875,0.242208,0.2264
-5,0,10,5.703406515634144,0.5314161155459233,0.5325
5,0.5,10,5.722632205535006,0.162317,0.1487
5,0,10,5.601469680675418,0.3373139858341044,0.3375
0,0,10,5.793376623743918,0.44395504455198004,0.4431
5,1,10,5.719273050597652,0.011881,0.0111
0,1,10,5.527639942757521,0.12901734902944187,0.1091
-5,0.5,10,5.715669104896281,0.2961073040237991,0.275
5,0.5,30,16.71085041876323,0.32200414955821094,0.3036
0,0,30,16.674012874729417,0.5111373683300183,0.5077
-5,1,10,5.490934261087351,0.1288870786755563,0.0965
5,1,30,15.952115673626347,0.14463038700245226,0.1308
5,0,30,16.7808386019541,0.4193043822008962,0.4201
-5,0,30,16.29759395177248,0.4938514772080566,0.4889
0,0.5,30,16.054410804510947,0.315914550903808,0.2782
-5,0.5,30,16.19510847733439,0.3225099461462806,0.2741
0,1,30,15.68247344458331,0.18619061003153908,0.1272
-5,1,30,15.699523932996406,0.24376791221720925,0.1643
5,0,100,49.840506501361084,0.5032983926251814,0.5046
-5,0,100,49.83596557181676,0.5009777086646982,0.5023
5,0.5,100,48.7942386036628,0.32487529731962284,0.2876
0,0,100,50.27895970349793,0.469479076551805,0.4644
-5,0.5,100,48.447640445091125,0.4138988751361149,0.3264
0,0.5,100,48.002005514303995,0.38199396347050496,0.3024
5,1,100,47.63077956853059,0.22298127367274256,0.1391
-5,1,100,46.014258043384075,0.32293711382567153,0.1783
5,0,10,5.783970706354048,0.4475693727339437,0.4486
0,1,100,46.97824080536415,0.2891840453728401,0.1637
5,0.5,10,5.662549866913582,0.23504515079013116,0.2287
-5,0,10,5.503803030305834,0.4612798199657419,0.4603
0,0,10,5.585527758763793,0.687077367571526,0.6882
0,0.5,10,5.568467312881567,0.2170687891998129,0.20879999999999999
-5,0.5,10,5.457003420915152,0.20513604622559461,0.19039999999999999
5,1,10,5.595172077205023,0.13826652206687576,0.1221
5,0,30,16.955678754354953,0.516973278352226,0.5176
0,1,10,5.59748081104363,0.13120808403470974,0.1052
-5,1,10,5.467965764829198,0.18486059188588805,0.1535
0,0,30,16.428254748716384,0.48996928280785407,0.4929
5,0.5,30,16.208595711419996,0.3092719297669136,0.2891
-5,0,30,16.72652080273936,0.4749726746623128,0.4679
0,0.5,30,16.23820463277877,0.3421840935877679,0.3058
-5,0.5,30,16.319004544801878,0.34402587921383126,0.2934
5,1,30,16.055168444200735,0.16553974609067687,0.1336
0,1,30,15.662419285952422,0.21217816732587674,0.1386
5,0,100,50.55871107335973,0.5138464952445576,0.5162
-5,1,30,16.18628494234188,0.2340858381318,0.1576
0,0,100,50.67439233790173,0.5021544659134775,0.5053
-5,0,100,50.52813405151937,0.5017766695268225,0.5033
5,0.5,100,47.769264206639406,0.3567611154867121,0.3225
-5,0.5,100,50.665200994797324,0.3997271908123651,0.3105
0,0.5,100,49.8458907871599,0.3667733221765225,0.2953
5,1,100,48.61012752632053,0.15624168193770457,0.1023
0,1,100,45.20059822383158,0.3208483814047192,0.1842
-5,1,100,46.789972498673485,0.32267503578932577,0.1753
5,0,10,5.639009819270887,0.27061831707990913,0.2701
0,0,10,5.56115796265351,0.444275198756722,0.4437
-5,0,10,5.564775192792227,0.5255651444361102,0.5284
5,0.5,10,5.6861984661725575,0.350437,0.3441
0,0.5,10,5.547794158653752,0.1891924353687449,0.17880000000000001
5,1,10,5.616021182386596,0.134016,0.1307
-5,0.5,10,5.6223475664624685,0.3246343173913052,0.3068
0,1,10,5.312123894094275,0.10891800596037342,0.0867
-5,1,10,5.557778093186744,0.1530203040368268,0.1148
5,0,30,16.277167086934508,0.3989137724287894,0.39840000000000003
0,0,30,16.37234096628915,0.49856672831919135,0.4983
-5,0,30,16.546391780207802,0.527742844053622,0.529
5,0.5,30,16.108872732778664,0.35956645997278497,0.35
0,0.5,30,16.24687173281246,0.36568388961248016,0.3327
-5,0.5,30,16.060301282782408,0.2987660044424006,0.2482
5,1,30,15.853682676534843,0.20696441878335087,0.1698
0,1,30,16.060746181000507,0.18716790825138552,0.1379
-5,1,30,15.538247724509697,0.23481641800525313,0.1534
5,0,100,51.296348157928286,0.5051469089791526,0.5041
0,0,100,49.34314183497954,0.4998566296051447,0.4997
5,0.5,100,48.51693742560309,0.3674427525057026,0.3022
-5,0,100,50.80825110236861,0.5058292438651232,0.5147
