rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff,surv_time,RGR,pupated,eclosed,time_to_pupation,time_to_eclosure,adult_time,pupation_time,repID,area_herb,var_toxic_12,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore,s1.less_toxic.est,s2.less_toxic.est,s1.less_toxic.se,s2.less_toxic.se,mean_toxic_conc,observed_dead
1,0,beta0_id2,1,1,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0028,2023-11-26T05:00:00Z,11:49:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,escaped then returned by itself between s182373 - s21409. Hanging on the wooden frame (out of frame) after s182373,20,1,0,0,367627,4,NA,0,0,NA,NA,NA,NA,rep1,4678,0.05477811058878575,0.6122370311803309,16.404126767106856,0.454700194412052,52.44387375204663,25.451070637791805,0.2657728406950389,31.39692369522847,0.2557818366352445,0.20289128631022124,-0.0488717303321696,0.23014206350831645,-0.14875306632474403,1.1509785869912852,0.7689827361376537,0.5250180550884209,0.8958550739490234,0.8789237668161435,10.821284128180382,0.3093866453166073,26.456731698675338,1.4638191126254902,0.6458167832959222,-0.4426151590095789,NA,0.7441650006834711,0,1.089568191534844,1
2,-5,beta-5_id1,2,2,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0023,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,114973,4,NA,0,0,NA,NA,NA,NA,rep2,1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9790209790209791,1
3,5,beta5_id6,3,3,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0072,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,109568,4,NA,0,0,NA,NA,NA,NA,rep3,213,0.03191177362036162,0.8287647480070989,158.58422853280095,1.0211589354672232,145.11438507528095,1.4477615877517436,3.091030772879941,-4.93959125681144,-33.15767035296385,0.10014227265843896,0.5189656673404707,-0.716245205392471,0.39125483078774176,0.46950228318064735,0.20729918133225697,0.6402523123079475,-0.2037840012157286,0.8366336633663366,31.628935771042443,-0.09815467282679063,19.558478831313465,1.6597308224727054,0.17024396049826057,NA,NA,NA,NA,1.0023474178403757,1
4,0,beta0_id6,4,4,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0027,2023-11-26T05:00:00Z,11:49:00,0.0041,0,NA,NA,0,NA,NA,2023-11-29T05:00:00Z,0,NA,20,1,0,0,411961,8,0.0036225049923397494,0,0,NA,NA,NA,NA,rep4,15512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1882413615265601,1
5,5,beta5_id4,5,5,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0021,2023-11-26T05:00:00Z,11:49:00,0.0011,0,NA,NA,0,NA,NA,2023-11-27T05:00:00Z,0,NA,20,1,0,0,413758,6,-0.005607404234066071,0,0,NA,NA,NA,NA,rep5,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6419354838709677,1
6,0,beta0_id1,6,6,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0057,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,137319,4,NA,0,0,NA,NA,NA,NA,rep6,1298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7303543913713405,1
7,5,beta5_id5,7,7,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0044,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,21986,4,NA,0,0,NA,NA,NA,NA,rep7,934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2280513918629548,1
8,-5,beta-5_id8,8,8,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0043,2023-11-26T05:00:00Z,11:49:00,0.047,0,2023-12-02T05:00:00Z,0.2227,0,2023-12-23T05:00:00Z,male,2024-01-08T05:00:00Z,0,NA,20,1,0,0,411957,48,0.02073882855045997,1,1,11,32,16,21,rep8,6016,0.6232788089912831,0.8265872973028806,104.39146860390058,0.5986425545967525,83.1438481061567,2.2599589977552452,2.903133339101309,2.325943121324498,3.0397363070490573,0.33575205676735537,0.30139995755442495,0.35798552037918546,0.40043793798878025,0.42115299811156925,0.18932034214102847,0.09510115984518391,0.15190516162686646,0.6879084967320261,20.716332046708903,-0.1692404411791889,55.77247638763094,1.568608062310641,0.3053346425997556,-1.0379338180208024,-0.6874751994299837,0.28453732302548795,0.41827587196805827,1.2087765957446808,1
9,-5,beta-5_id4,9,9,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0048,2023-11-26T05:00:00Z,11:49:00,0.0032,0,NA,NA,0,NA,NA,2023-12-02T05:00:00Z,0,NA,20,1,0,0,415205,11,-0.0035161015300606818,0,0,NA,NA,NA,NA,rep9,3677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9384008702746806,1
10,5,beta5_id2,10,10,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0046,2023-11-26T05:00:00Z,11:49:00,0.0041,0,NA,NA,0,NA,NA,2023-11-29T05:00:00Z,0,NA,20,1,0,0,413761,8,-9.978551506124045e-4,0,0,NA,NA,NA,NA,rep10,2796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2024320457796853,1
