rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff
1,0,beta0_id2,1,1,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0028,11-26-2023,11:49,NA,1,NA,NA,0,NA,NA,11-25-2023,0,escaped then returned by itself between s182373 - s21409. Hanging on the wooden frame (out of frame) after s182373,20,1,0,0,367627
2,-5,beta-5_id1,2,2,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0023,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,114973
3,5,beta5_id6,3,3,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0072,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,109568
4,0,beta0_id6,4,4,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0027,11-26-2023,11:49,0.0041,0,NA,NA,0,NA,NA,11-29-2023,0,,20,1,0,0,411961
5,5,beta5_id4,5,5,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0021,11-26-2023,11:49,0.0011,0,NA,NA,0,NA,NA,11-27-2023,0,,20,1,0,0,413758
6,0,beta0_id1,6,6,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0057,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,137319
7,5,beta5_id5,7,7,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0044,11-25-2023,14:12,NA,1,NA,NA,0,NA,NA,11-25-2023,0,,20,1,0,0,21986
8,-5,beta-5_id8,8,8,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0043,11-26-2023,11:49,0.047,0,12-02-2023,0.2227,0,12-23-2023,male,01-08-2024,0,,20,1,0,0,411957
9,-5,beta-5_id4,9,9,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,11-20-2023,11-21-2023,16:30,0.0048,11-26-2023,11:49,0.0032,0,NA,NA,0,NA,NA,12-02-2023,0,,20,1,0,0,415205
10,5,beta5_id2,10,10,1 mg/g,high_var,0 mg/g,2 mg/g,11-20-2023,11-21-2023,16:30,0.0046,11-26-2023,11:49,0.0041,0,NA,NA,0,NA,NA,11-29-2023,0,,20,1,0,0,413761
