Trial,cat_wt,condition_trt,center_block_trt,first_diet,choice_2h,second_diet,end_of_day_diet,next_morning_choice,notes
1,0.136,L,Y,H,1,,h,h,
2,0.1724,L,N,H,1,,h,h,
3,0.215,H,Y,,0,,c,n,
4,0.063,H,N,H,1,,h,h,
5,0.0333,L,Y,,0,,c,c,
6,0.2401,L,N,H,1,,h,n,
7,0.0168,H,Y,,0,,c,c,
8,0.1038,H,N,H,1,H,h,h,
9,0.0679,L,Y,l,0,,c,n,
10,0.0476,L,N,L,1,,l,l,
11,0.0667,H,Y,,0,,c,c,
12,0.0172,H,N,H,1,,h,h,
13,0.1906,L,Y,H,0,,h,h,
14,0.196,L,N,H,1,,h,h,
15,0.1987,H,Y,,0,,c,c,
16,0.01,H,N,H,1,,h,n,
17,0.0317,L,Y,,0,,n,n,
18,0.0194,L,N,,0,,n,n,
19,0.025,H,Y,,0,,c,c,
20,0.0634,H,N,H,0,,h,h,
21,0.2534,L,Y,H,0,H,n,n,
22,0.0274,L,N,H,1,,h,h,
23,0.0383,H,Y,,0,,c,c,
24,0.1367,H,N,H,1,,h,h,
25,0.1728,L,Y,L,1,,l,l,
26,0.1412,L,N,H,1,,h,h,
27,0.0656,H,Y,H,0,,c,h,
28,0.0291,H,N,L,1,,l,l,
29,0.0096,L,Y,H,0,,c,h,
30,0.0175,L,N,H,1,,h,n,
31,0.1781,H,Y,,0,,c,c,
32,0.0817,H,N,H,1,,h,h,
33,0.0858,L,Y,H,0,,c,h,
34,0.0756,L,N,H,1,H,h,h,
35,0.2344,H,Y,,0,,c,n,
36,0.088,H,N,H,1,,h,h,
37,0.0177,L,Y,,0,,c,c,
38,0.0151,L,N,H,1,L,l,l,
39,0.1159,H,Y,,0,,c,c,
40,0.1006,H,N,H,1,,h,h,
41,0.176,L,Y,,0,,c,h,
42,0.2449,L,N,H,1,,n,n,spinning
43,0.0253,H,Y,,0,,n,c,
44,0.0102,H,N,,0,,n,n,
45,0.0157,L,Y,,0,,c,n,
46,0.0108,L,N,H,0,H,h,h,
47,0.0855,H,Y,,0,,c,c,
48,0.0559,H,N,H,1,,h,n,
49,0.0261,L,Y,,0,,c,c,
50,0.0413,L,N,H,1,,h,h,
51,0.0177,H,Y,,0,,c,c,
52,0.0707,H,N,H,1,,h,h,
53,0.1093,L,Y,L,1,,l,l,
54,0.0755,L,N,H,1,,h,h,
55,0.0842,H,Y,,0,,c,c,
56,0.097,H,N,L,1,,l,l,
57,0.0245,L,Y,,0,,c,c,
58,0.0037,L,N,,0,,c,c,Dead on arrival -- throw out
59,0.0768,H,Y,,0,,c,c,
60,0.0812,H,N,H,1,,h,h,
61,0.0897,L,Y,H,1,H,h,h,
62,0.1016,L,N,H,1,,h,n,
63,0.0737,H,Y,H,0,,n,h,
64,0.0562,H,N,L,1,,l,l,
65,0.0321,L,Y,H,1,,h,h,
66,0.0766,L,N,H,1,,h,h,
67,0.0072,H,Y,,0,,c,n,
68,0.0024,H,N,H,1,,n,n,
69,0.0228,L,Y,,0,,c,c,
70,0.2421,L,N,L,1,,l,n,spinning
71,0.074,H,Y,,0,,c,c,
72,0.0014,H,N,L,1,,l,l,
73,0.0368,L,Y,L,0,,c,l,
74,0.031,L,N,L,0,,l,l,
75,0.1483,H,Y,,0,,c,c,
76,0.1032,H,N,H,1,,h,h,
77,0.0318,L,Y,,0,,c,c,
78,0.1841,L,N,L,1,,l,l,
79,0.0329,H,Y,,0,,c,c,
80,0.2016,H,N,H,1,,h,h,
81,0.0122,L,Y,H,0,H,h,h,
82,0.0201,L,N,H,1,,h,h,
83,0.0828,H,Y,,0,,c,c,
84,0.1518,H,N,L,1,,l,l,
85,0.0053,L,Y,L,0,,l,l,
86,0.0074,L,N,H,0,,n,h,
87,0.0701,H,Y,,0,,c,c,
88,0.0256,H,N,H,1,,h,n,
89,0.0215,L,Y,,0,,c,c,
90,0.0201,L,N,H,1,,h,h,
91,0.0589,H,Y,,0,,c,n,
92,0.0603,H,N,H,1,,h,n,
93,0.0213,L,Y,L,0,,l,l,
94,0.029,L,N,H,1,,h,h,
95,0.0535,H,Y,,0,,c,c,
96,0.0513,H,N,H,1,H,h,h,
97,0.0554,L,Y,L,1,H,h,h,
98,0.0567,L,N,L,1,,l,l,
99,0.017,H,Y,,0,,h,c,
100,0.038,H,N,H,1,,h,h,
