b,rss,scale,k,on_toxic,r,ava_toxic
5,-0.2876820724517809,8.3333,0.2,0.9470529470529472,8.175751718151794,0.9384378652881892
0,-0.2876820724517809,8.3333,0.2,0.913086913086913,8.733609756357003,0.8982463843885304
-5,-0.2876820724517809,8.3333,0.2,0.913086913086913,8.12723126788366,0.8878750505050504
5,0.2876818224517498,8.3333,0.2,0.8691308691308691,10.192395084779395,0.8757917335977785
-5,0,8.3333,0.2,0.8691308691308691,9.55086943136549,0.8650195637312404
0,0,8.3333,0.2,0.908091908091908,9.327417030049215,0.9061719357232082
5,0,8.3333,0.2,0.9590409590409592,7.504335168724137,0.9580785115385868
0,0.2876818224517498,8.3333,0.2,0.9090909090909092,9.014536545360375,0.9101202546566012
-5,0.2876818224517498,8.3333,0.2,0.8741258741258742,10.127373581529522,0.8885969454063046
5,-0.2876820724517809,25,0.2,0.8911088911088911,29.270170334022083,0.8722644216272846
0,-0.2876820724517809,25,0.2,0.8361638361638362,29.195488773759017,0.8139708246676772
-5,-0.2876820724517809,25,0.2,0.8161838161838162,28.98649619531003,0.7927242291702508
5,0,25,0.2,0.8711288711288712,26.135943741001736,0.8858800606425523
-5,0,25,0.2,0.7402597402597403,37.24456007138102,0.7460841770314691
5,0.2876818224517498,25,0.2,0.8781218781218781,25.539231984556853,0.882192710386323
0,0,25,0.2,0.7792207792207793,34.23417928319987,0.7789193782719325
0,0.2876818224517498,25,0.2,0.6503496503496503,40.57710408632372,0.69118224528953
5,-0.2876820724517809,83.333,0.2,0.7862137862137862,87.72629201761534,0.7683106827433962
-5,0.2876818224517498,25,0.2,0.6843156843156843,37.72100926215034,0.717494546796112
0,-0.2876820724517809,83.333,0.2,0.7142857142857143,97.27521089311584,0.6756988853647653
-5,-0.2876820724517809,83.333,0.2,0.6963036963036963,92.2929605481928,0.6379798209148781
5,0,83.333,0.2,0.7382617382617382,94.7951516736958,0.7274723990125367
-5,0,83.333,0.2,0.6333666333666333,101.56139124477905,0.6268431168006791
0,0,83.333,0.2,0.6123876123876124,106.55330213809184,0.6182073176415741
5,0.2876818224517498,83.333,0.2,0.6613386613386614,98.4316739030235,0.6940197674173156
0,-0.2876820724517809,8.3333,1,0.6813186813186813,6.832855997838209,0.6674209928960451
0,0.2876818224517498,83.333,0.2,0.5364635364635365,116.53556768859217,0.5905865781158144
-5,0.2876818224517498,83.333,0.2,0.5254745254745254,111.13972045475636,0.573978080608363
5,-0.2876820724517809,8.3333,1,0.26173826173826176,6.777147412748031,0.25855
-5,-0.2876820724517809,8.3333,1,0.6473526473526473,6.385437899600484,0.62404
5,0,8.3333,1,0.12887112887112886,6.289106416815745,0.13054
0,0,8.3333,1,0.5514485514485514,6.546630697716081,0.53128
-5,0,8.3333,1,0.4935064935064935,7.106515267853375,0.49852462759486377
5,0.2876818224517498,8.3333,1,0.5084915084915085,6.72301099456318,0.51259
5,-0.2876820724517809,25,1,0.6673326673326674,18.1250616426029,0.6499571664371757
0,0.2876818224517498,8.3333,1,0.3026973026973027,6.302616650120336,0.31331
-5,0.2876818224517498,8.3333,1,0.5234765234765235,6.678429184364171,0.5257
0,-0.2876820724517809,25,1,0.6483516483516484,19.319506731665225,0.625752555785505
-5,-0.2876820724517809,25,1,0.6303696303696303,20.19146711593001,0.5956670600404086
5,0,25,1,0.46553446553446554,19.448488339720672,0.4807643763029183
0,0,25,1,0.3706293706293706,18.325661687512163,0.3715467493374471
-5,0,25,1,0.5544455544455544,18.582650633206654,0.5439156533977841
5,0.2876818224517498,25,1,0.08691308691308691,18.241203435007723,0.095940101010101
-5,0.2876818224517498,25,1,0.34865134865134867,19.60989524952389,0.3913160942888427
0,0.2876818224517498,25,1,0.37662337662337664,18.2083742745859,0.4132518919128038
5,-0.2876820724517809,83.333,1,0.6483516483516484,55.273877715157695,0.6138008115972877
0,-0.2876820724517809,83.333,1,0.6173826173826173,54.84697315294914,0.5532920047810527
-5,-0.2876820724517809,83.333,1,0.5964035964035964,55.31089075991755,0.5424290232573118
5,0,83.333,1,0.4095904095904096,57.93088553461738,0.41819029615425146
0,0,83.333,1,0.5324675324675324,59.61098190523421,0.5236664723553739
-5,0,83.333,1,0.5034965034965035,57.24188676356183,0.5143386274599927
-5,0.2876818224517498,83.333,1,0.3086913086913087,61.840941910042496,0.38357886680369274
5,0.2876818224517498,83.333,1,0.4725274725274725,59.78812888250382,0.5042912886886499
0,0.2876818224517498,83.333,1,0.4135864135864136,57.1639741011947,0.4722329834009814
5,-0.2876820724517809,8.3333,5,9.99000999000999e-4,1.2613323473514435,0
0,-0.2876820724517809,8.3333,5,0.17782217782217782,2.376916614096898,0.17766
-5,-0.2876820724517809,8.3333,5,0.07592407592407592,1.7461779817185594,0.07662
5,0,8.3333,5,0.02197802197802198,1.6404289688975504,0.02107999999999999
0,0,8.3333,5,0.02597402597402597,1.4508500281218288,0.02337
-5,0,8.3333,5,0.02797202797202797,1.5500784744800005,0.0274
5,0.2876818224517498,8.3333,5,0.03496503496503497,1.5360721910406758,0.03584
-5,0.2876818224517498,8.3333,5,0.08091908091908091,1.7587800028414795,0.09602
